13:15:10Ошибка записи данных
14:28:47 Пустое значение
14:28:47 Пустое значение
14:28:47 Пустое значение
14:28:47 Пустое значение
14:28:47 Пустое значение
14:28:47 Пустое значение
14:28:47 Пустое значение
14:28:47 Пустое значение
14:28:47 Пустое значение
14:28:47 Пустое значение
14:28:48 Пустое значение
14:28:48 Пустое значение
14:28:48 Пустое значение
14:28:48 Пустое значение
14:28:48 Пустое значение
14:28:48 Пустое значение
14:28:48 Пустое значение
14:28:48 Пустое значение
14:28:48 Пустое значение
14:28:49 Пустое значение
14:28:49 Пустое значение
14:28:49 Пустое значение
14:28:49 Пустое значение
14:28:49 Пустое значение
14:28:49 Пустое значение
14:28:49 Пустое значение
14:28:49 Пустое значение
14:28:49 Пустое значение
14:28:49 Пустое значение
14:28:50 Пустое значение
14:28:50 Пустое значение
14:28:50 Пустое значение
14:28:50 Пустое значение
14:28:50 Пустое значение
14:28:50 Пустое значение
14:28:50 Пустое значение
14:28:50 Пустое значение
14:28:50 Пустое значение
14:28:50 Пустое значение
14:28:51 Пустое значение
14:28:51 Пустое значение
14:28:51 Пустое значение
14:28:51 Пустое значение
14:28:51 Пустое значение
14:28:51 Пустое значение
14:28:51 Пустое значение
14:28:51 Пустое значение
14:28:51 Пустое значение
14:28:51 Пустое значение
14:28:52 Пустое значение
14:28:52 Пустое значение
14:28:52 Пустое значение
14:28:52 Пустое значение
14:28:52 Пустое значение
14:28:52 Пустое значение
14:28:52 Пустое значение
14:28:52 Пустое значение
14:28:52 Пустое значение
14:28:52 Пустое значение
14:28:53 Пустое значение
14:28:53 Пустое значение
14:28:53 Пустое значение
14:28:53 Пустое значение
14:28:53 Пустое значение
14:28:53 Пустое значение
14:28:53 Пустое значение
14:28:53 Пустое значение
14:28:53 Пустое значение
14:28:53 Пустое значение
14:28:54 Пустое значение
14:28:54 Пустое значение
14:28:54 Пустое значение
14:28:54 Пустое значение
14:28:54 Пустое значение
14:28:54 Пустое значение
14:28:54 Пустое значение
14:28:54 Пустое значение
14:28:54 Пустое значение
14:28:55 Пустое значение
14:28:55 Пустое значение
14:35:00 Пустое значение14:35:00 Пустое значение

14:35:00 Пустое значение
14:35:00 Пустое значение14:35:00 Пустое значение

14:35:00 Пустое значение
14:35:00 Пустое значение14:35:00 Пустое значение

14:35:00 Пустое значение
14:35:00 Пустое значение
14:35:00 Пустое значение
14:35:01 Пустое значение
14:35:01 Пустое значение
14:35:01 Пустое значение
14:35:01 Пустое значение
14:35:01 Пустое значение
14:35:02 Пустое значение
14:35:02 Пустое значение
14:35:02 Пустое значение
14:35:02 Пустое значение
14:35:02 Пустое значение
14:35:02 Пустое значение
14:35:02 Пустое значение
14:35:02 Пустое значение
14:35:02 Пустое значение
14:35:02 Пустое значение
14:35:03 Пустое значение
14:35:03 Пустое значение
14:35:03 Пустое значение
14:35:04 Пустое значение
14:35:04 Пустое значение
14:35:05 Пустое значение
14:35:05 Пустое значение
14:35:05 Пустое значение
14:35:06 Пустое значение
14:35:06 Пустое значение
14:35:06 Пустое значение
14:35:06 Пустое значение
14:35:06 Пустое значение
14:35:07 Пустое значение
14:35:07 Пустое значение
14:35:07 Пустое значение
14:35:07 Пустое значение
14:35:07 Пустое значение
14:35:08 Пустое значение
14:35:08 Пустое значение
14:35:08 Пустое значение
14:35:08 Пустое значение
14:35:08 Пустое значение
14:35:08 Пустое значение
14:35:08 Пустое значение
14:35:08 Пустое значение
14:35:08 Пустое значение
14:35:08 Пустое значение
14:35:09 Пустое значение
14:35:09 Пустое значение
14:35:09 Пустое значение
14:35:09 Пустое значение
14:35:09 Пустое значение
14:35:09 Пустое значение
14:35:09 Пустое значение
14:35:09 Пустое значение
14:35:09 Пустое значение
14:35:10 Пустое значение
14:35:10 Пустое значение
14:35:10 Пустое значение
14:35:10 Пустое значение
14:35:10 Пустое значение
14:35:10 Пустое значение
